Category,Problem Name,DONE
Basic C++ Programs,Hello World,TRUE
,Display Your Name,TRUE
,User Input,TRUE
,Sum of Two Numbers,TRUE
,Swap two numbers,TRUE
,"Size of int, float, double, char",TRUE
,Float Multiplication,TRUE
,ASCII Value of a Character,TRUE
,Convert Fahrenheit to Celsius,TRUE
,Calculate Simple Interest,TRUE
,Calculate Compound Interest,TRUE
,Area and Perimeter of Rectangle,TRUE
C++ Control Flow Programs,Check for Even Odd,TRUE
,Largest Among 3,TRUE
,Vowel/Consonant Check,TRUE
,Leap Year Check,TRUE
,Multiplication Table,TRUE
,Sum of n Natural Numbers,TRUE
,Factorial of a Number,TRUE
,Reverse a Number,TRUE
,GCD of two numbers,FALSE
,LCM of two numbers,FALSE
,Palindrome Check,FALSE
,Prime Check,FALSE
,Primes in Range,FALSE
,Neon Numbers in Range,FALSE
,Armstrong Number,FALSE
,Armstrong Numbers Between 1 to 1000,FALSE
,nth Fibonacci Number,FALSE
,Even Index Fibonacci Sum,FALSE
,Calculate the Power of a Number,FALSE
,Factors of a Natural Number,FALSE
,Basic Calculator,FALSE
C++ Pattern Printing Programs,Right Half Pyramid,FALSE
,Left Half Pyramid,FALSE
,Full Pyramid,FALSE
,Inverted Pyramid,FALSE
,Triangle Pattern,FALSE
,Number Pattern,FALSE
,Character Pattern,FALSE
,Continuous Character Pattern,FALSE
,Diamond Pyramid,FALSE
,Inverted Hollow Pyramid,FALSE
,Hollow Diamond Pyramid,FALSE
,Pascal's Triangle,FALSE
,Floyd's Triangle,FALSE
,Reverse Floyd's Triangle,FALSE
C++ Function Programs,Primes in Range,FALSE
,Sum of Two Primes Check,FALSE
,Recursive Sum of n,FALSE
,Factorial using Recursion,FALSE
,Recursive Sentence Reverse,FALSE
,Power using Recursion,FALSE
,Variadic Templates,FALSE
C++ Array Programs,Array Equality Check,FALSE
,Array Max & Min,FALSE
,Array Average,FALSE
,Merge Arrays,FALSE
,2D Array,FALSE
,Common Array Elements,FALSE
,Remove Duplicates,FALSE
,Remove Element,FALSE
,Prefix Sum,FALSE
,Rotate Array,FALSE
,Reverse Copy Array,FALSE
C++ Matrix Programs,Matrix Addition,FALSE
,Matrix Equality Check,FALSE
,Matrix Diagonal Check,FALSE
,Matrix Boundary Elements,FALSE
,Matrix Transpose,FALSE
,Matrix Determinant,FALSE
,Normal and Trace of Matrix,FALSE
,Matrix Multiplication,FALSE
,Rotate Matrix,FALSE
,Swap First & Last Rows,FALSE
,Matrix Prefix Sum,FALSE
C++ Pointers Programs,Pointers,FALSE
,Array of Pointers,FALSE
,Void Pointer,FALSE
,Reference To a Pointer,FALSE
,Function pointer,FALSE
,this Pointer,FALSE
,Opaque Pointer,FALSE
C++ String Programs,String Length,FALSE
,Access Characters,FALSE
,Unicode at index,FALSE
,Replace a Character,FALSE
,String Compare,FALSE
,Concatenate Strings,FALSE
,Add Binary Strings,FALSE
,Remove Leading Zeros,FALSE
,Lexicographical Compare,FALSE
,Reverse String,FALSE
